id,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.25,21,7212
2,SpiceJet,SG-5094,Hyderabad,Evening,zero,Night,Kolkata,Economy,1.75,7,5292
3,Vistara,UK-846,Bangalore,Morning,one,Evening,Delhi,Business,9.58,5,60553
4,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Economy,6.75,28,5760
5,Indigo,6E-5394,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,2.0,4,10712
6,Air_India,AI-636,Delhi,Afternoon,one,Morning,Chennai,Business,20.42,5,45257
7,Vistara,UK-834,Chennai,Evening,one,Morning,Mumbai,Economy,18.42,20,5054
8,Air_India,AI-505,Bangalore,Morning,zero,Afternoon,Delhi,Business,2.58,30,32923
9,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,15.92,12,11383
10,Air_India,AI-538,Chennai,Night,one,Afternoon,Mumbai,Economy,16.5,18,4357
11,Vistara,UK-818,Bangalore,Evening,one,Evening,Hyderabad,Business,24.25,22,64025
12,Air_India,AI-501,Bangalore,Afternoon,one,Morning,Kolkata,Business,19.67,46,60508
13,Vistara,UK-858,Bangalore,Early_Morning,zero,Morning,Mumbai,Economy,1.58,18,2150
14,Indigo,6E-634,Kolkata,Morning,one,Night,Delhi,Economy,9.58,4,31952
15,Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Business,7.5,3,49063
16,Air_India,AI-523,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,9.08,25,4946
17,Air_India,AI-679,Mumbai,Morning,one,Evening,Delhi,Business,9.42,40,44610
18,Vistara,UK-986,Mumbai,Night,one,Morning,Kolkata,Economy,10.83,34,5949
19,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,14.92,15,10054
20,Air_India,AI-429,Delhi,Morning,one,Evening,Mumbai,Business,8.42,23,50969
21,GO_FIRST,G8-7557,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,7.08,15,4262
22,Air_India,AI-610,Bangalore,Evening,one,Morning,Delhi,Business,15.08,17,42521
23,Air_India,AI-542,Delhi,Morning,one,Morning,Bangalore,Business,25.0,34,35490
24,Vistara,UK-894,Hyderabad,Evening,two_or_more,Morning,Kolkata,Economy,15.08,20,9643
25,Vistara,UK-988,Mumbai,Night,one,Evening,Hyderabad,Economy,20.08,20,4099
26,Vistara,UK-954,Mumbai,Early_Morning,zero,Morning,Delhi,Business,2.08,13,22140
27,Air_India,AI-770,Kolkata,Night,one,Night,Bangalore,Business,23.58,15,60978
28,Vistara,UK-975,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,6.5,41,5549
29,Indigo,6E-345,Kolkata,Morning,one,Evening,Hyderabad,Economy,8.58,28,5070
30,Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Economy,21.17,28,5949
31,Vistara,UK-816,Bangalore,Morning,one,Night,Hyderabad,Economy,9.42,15,16014
32,Vistara,UK-994,Mumbai,Morning,one,Night,Hyderabad,Business,12.5,33,66077
33,AirAsia,I5-788,Delhi,Night,one,Afternoon,Mumbai,Economy,14.25,43,2409
34,Vistara,UK-824,Chennai,Night,one,Night,Bangalore,Business,24.42,8,44144
35,Vistara,UK-778,Kolkata,Afternoon,one,Early_Morning,Mumbai,Economy,16.58,6,12210
36,Air_India,AI-887,Delhi,Early_Morning,one,Early_Morning,Chennai,Business,24.33,26,45257
37,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Business,16.08,47,68303
38,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,Economy,19.92,36,6287
39,Air_India,AI-747,Kolkata,Night,zero,Late_Night,Bangalore,Economy,2.58,7,6489
40,Air_India,AI-806,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.25,46,2464
41,AirAsia,I5-371,Kolkata,Early_Morning,zero,Morning,Chennai,Economy,2.33,5,7798
42,SpiceJet,SG-5006,Bangalore,Early_Morning,zero,Morning,Delhi,Economy,2.75,11,7488
43,Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16.0,40,66267
44,Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Business,16.33,7,41281
45,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Chennai,Business,16.5,19,49613
46,Vistara,UK-812,Bangalore,Morning,one,Evening,Kolkata,Business,8.33,22,60508
47,Vistara,UK-870,Hyderabad,Night,one,Night,Chennai,Business,23.67,41,51707
48,Air_India,AI-637,Mumbai,Evening,one,Night,Delhi,Economy,5.33,14,11088
49,Air_India,AI-9881,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,4.67,21,5040
50,Indigo,6E-5386,Mumbai,Evening,one,Late_Night,Delhi,Economy,5.08,11,5939
51,Indigo,6E-725,Kolkata,Evening,one,Early_Morning,Chennai,Economy,10.0,35,3583
52,Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,Economy,31.17,17,9560
53,Air_India,AI-538,Chennai,Night,one,Evening,Bangalore,Economy,19.92,26,5888
54,AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Mumbai,Economy,8.5,17,1830
55,Air_India,AI-440,Chennai,Early_Morning,two_or_more,Afternoon,Kolkata,Economy,32.67,9,14265
56,Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Chennai,Economy,9.33,32,6510
57,GO_FIRST,G8-334,Delhi,Early_Morning,one,Night,Kolkata,Economy,15.58,37,6395
58,SpiceJet,SG-8709,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.08,25,4149
59,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,21,2700
60,Air_India,AI-424,Kolkata,Afternoon,one,Evening,Mumbai,Economy,26.92,25,8478
61,Indigo,6E-425,Hyderabad,Afternoon,one,Night,Kolkata,Economy,6.17,33,17613
62,Air_India,AI-616,Hyderabad,Morning,one,Evening,Delhi,Business,9.83,19,39499
63,SpiceJet,SG-8702,Mumbai,Morning,one,Night,Kolkata,Economy,12.75,12,7412
64,AirAsia,I5-829,Delhi,Night,one,Morning,Chennai,Economy,11.58,44,2974
65,Vistara,UK-774,Kolkata,Night,one,Evening,Delhi,Business,21.5,27,66063
66,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,Economy,17.33,20,5232
67,AirAsia,I5-766,Hyderabad,Night,two_or_more,Early_Morning,Kolkata,Economy,10.25,12,5291
68,Indigo,6E-6445,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,6.25,43,2201
69,SpiceJet,SG-343,Mumbai,Morning,one,Afternoon,Delhi,Economy,5.75,33,3965
70,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,Economy,17.33,31,5232
71,Air_India,AI-569,Chennai,Early_Morning,zero,Morning,Mumbai,Business,1.75,38,23424
72,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Economy,13.17,34,6578
73,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15.67,33,45883
74,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Business,7.08,32,54896
75,Indigo,6E-967,Delhi,Evening,one,Night,Bangalore,Economy,5.08,42,4094
76,AirAsia,I5-2991,Kolkata,Night,one,Early_Morning,Mumbai,Economy,9.67,21,3379
77,Air_India,AI-808,Bangalore,Night,one,Afternoon,Kolkata,Economy,15.5,31,6583
78,Vistara,UK-776,Kolkata,Evening,one,Night,Chennai,Business,5.5,9,55502
79,Indigo,6E-5389,Bangalore,Evening,zero,Evening,Mumbai,Economy,1.83,40,2201
80,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,10.08,38,68899
81,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Kolkata,Economy,11.17,9,14014
82,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Kolkata,Economy,20.5,13,11928
83,Air_India,AI-505,Bangalore,Morning,one,Night,Hyderabad,Business,13.17,40,56476
84,Vistara,UK-854,Bangalore,Evening,one,Morning,Delhi,Business,15.25,47,57081
85,Vistara,UK-954,Mumbai,Early_Morning,one,Night,Chennai,Business,14.25,18,49613
86,Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,17,6981
87,GO_FIRST,G8-7535,Delhi,Evening,one,Early_Morning,Kolkata,Economy,14.5,38,6395
88,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,15.33,32,6075
89,Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,10.75,12,11129
90,Indigo,6E-6467,Hyderabad,Afternoon,one,Night,Kolkata,Economy,8.67,20,5293
91,Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,15.92,31,49553
92,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Business,16.67,41,62591
93,Air_India,AI-465,Delhi,Evening,one,Afternoon,Bangalore,Economy,23.17,25,5504
94,SpiceJet,SG-678,Chennai,Early_Morning,one,Night,Delhi,Economy,15.08,46,5100
95,GO_FIRST,G8-2231,Bangalore,Afternoon,one,Night,Delhi,Economy,7.08,42,6022
96,SpiceJet,SG-3831,Hyderabad,Evening,one,Evening,Kolkata,Economy,3.42,5,5292
97,GO_FIRST,G8-102,Kolkata,Afternoon,one,Night,Hyderabad,Economy,8.33,40,5574
98,Vistara,UK-774,Kolkata,Night,one,Afternoon,Delhi,Economy,16.08,16,6461
99,Vistara,UK-970,Mumbai,Morning,one,Evening,Hyderabad,Business,11.17,25,60365
100,Air_India,AI-516,Bangalore,Early_Morning,one,Night,Mumbai,Economy,13.67,21,6181
101,Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Business,12.17,12,76736
102,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,7.25,21,5606
103,Air_India,AI-698,Hyderabad,Night,one,Morning,Kolkata,Economy,10.58,38,5629
104,Indigo,6E-232,Bangalore,Night,one,Early_Morning,Delhi,Economy,8.0,45,3845
105,Vistara,UK-954,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Business,6.58,20,45805
106,Air_India,AI-806,Mumbai,Early_Morning,zero,Morning,Delhi,Business,2.25,30,22140
107,Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Economy,10.0,10,12183
108,Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,Business,16.67,24,56476
109,Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.67,40,6122
110,Indigo,6E-496,Kolkata,Early_Morning,one,Afternoon,Mumbai,Economy,5.42,35,5226
111,Vistara,UK-877,Mumbai,Morning,two_or_more,Evening,Kolkata,Economy,8.83,33,8842
112,Air_India,AI-652,Mumbai,Evening,one,Night,Delhi,Business,25.42,49,39610
113,Air_India,AI-868,Delhi,Evening,one,Morning,Bangalore,Economy,17.17,3,11520
114,Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,14,9221
115,Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Economy,11.67,3,20373
116,Air_India,AI-774,Mumbai,Night,one,Afternoon,Delhi,Business,16.0,42,59021
117,Vistara,UK-993,Delhi,Afternoon,one,Early_Morning,Hyderabad,Economy,19.0,37,5772
118,Air_India,AI-683,Mumbai,Night,one,Night,Hyderabad,Economy,24.08,16,6038
119,Indigo,6E-294,Kolkata,Evening,one,Late_Night,Delhi,Economy,7.5,11,7466
120,Vistara,UK-986,Mumbai,Night,one,Evening,Hyderabad,Economy,21.17,28,4414
121,Air_India,AI-9894,Chennai,Morning,one,Afternoon,Bangalore,Economy,5.83,26,5715
122,Air_India,AI-543,Hyderabad,Morning,one,Night,Bangalore,Economy,8.75,28,6734
123,Air_India,AI-675,Mumbai,Early_Morning,one,Night,Delhi,Economy,16.83,5,12978
124,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Night,Kolkata,Economy,8.0,49,2836
125,Air_India,AI-505,Bangalore,Morning,one,Evening,Mumbai,Business,7.58,28,54684
126,Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Business,30.0,3,70793
127,Vistara,UK-774,Kolkata,Night,one,Afternoon,Delhi,Economy,17.92,12,13524
128,Air_India,AI-773,Kolkata,Evening,one,Morning,Bangalore,Economy,17.92,26,5477
129,Indigo,6E-2248,Hyderabad,Afternoon,one,Night,Kolkata,Economy,7.25,8,6663
130,Indigo,6E-788,Delhi,Afternoon,one,Evening,Hyderabad,Economy,3.92,30,3457
131,Vistara,UK-874,Hyderabad,Morning,one,Evening,Chennai,Economy,11.42,26,6287
132,Vistara,UK-775,Mumbai,Afternoon,one,Night,Delhi,Economy,7.17,6,15708
133,Vistara,UK-874,Hyderabad,Morning,one,Morning,Kolkata,Economy,25.17,26,8029
134,Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Kolkata,Business,13.58,20,51405
135,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Hyderabad,Economy,18.33,6,12210
136,Vistara,UK-854,Bangalore,Evening,one,Night,Hyderabad,Economy,26.5,22,5322
137,Vistara,UK-836,Chennai,Morning,one,Night,Bangalore,Business,9.67,37,60260
138,Air_India,AI-538,Chennai,Night,one,Morning,Hyderabad,Economy,15.58,32,3979
139,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Business,13.83,18,69113
140,Vistara,UK-657,Bangalore,Morning,one,Morning,Mumbai,Business,23.5,16,48289
141,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,14.25,11,69244
142,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.42,16,5622
143,Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Business,11.25,37,47395
144,Air_India,AI-569,Chennai,Early_Morning,one,Night,Delhi,Business,14.92,24,45185
145,Vistara,UK-706,Kolkata,Morning,one,Evening,Mumbai,Business,7.42,11,62591
146,Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Business,12.42,32,60978
147,Vistara,UK-941,Delhi,Evening,one,Night,Bangalore,Economy,6.08,6,10680
148,AirAsia,I5-972,Hyderabad,Evening,one,Night,Bangalore,Economy,5.58,43,3197
149,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Kolkata,Business,12.67,22,51707
150,Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Business,8.17,43,60160
151,Vistara,UK-802,Bangalore,Evening,one,Morning,Hyderabad,Economy,14.83,24,10802
152,Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Economy,7.58,18,4496
153,Indigo,6E-2474,Kolkata,Early_Morning,one,Morning,Hyderabad,Economy,6.42,33,3401
154,Vistara,UK-823,Mumbai,Evening,one,Night,Delhi,Business,6.08,7,51372
155,Vistara,UK-834,Chennai,Evening,one,Night,Mumbai,Economy,5.67,10,19533
156,Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Economy,7.58,38,4496
157,Air_India,AI-732,Kolkata,Afternoon,one,Morning,Chennai,Business,21.92,40,55087
158,GO_FIRST,G8-102,Kolkata,Afternoon,one,Night,Hyderabad,Economy,8.33,42,5574
159,AirAsia,I5-319,Kolkata,Evening,two_or_more,Late_Night,Delhi,Economy,10.67,9,5953
160,Vistara,UK-864,Bangalore,Evening,one,Late_Night,Delhi,Economy,5.92,38,4111
161,Air_India,AI-747,Kolkata,Night,one,Night,Mumbai,Business,21.83,17,45776
162,Air_India,AI-643,Mumbai,Afternoon,one,Evening,Delhi,Business,26.17,47,37244
163,Vistara,UK-850,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,16.33,3,13002
164,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Chennai,Business,12.42,40,60232
165,GO_FIRST,G8-7535,Delhi,Evening,one,Night,Kolkata,Economy,6.58,19,5954
166,AirAsia,I5-972,Bangalore,Evening,two_or_more,Late_Night,Delhi,Economy,9.33,28,2723
167,Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Business,10.58,15,60489
168,Air_India,AI-768,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.5,10,7329
169,Vistara,UK-812,Bangalore,Morning,one,Evening,Hyderabad,Business,7.25,12,56588
170,Indigo,6E-6234,Mumbai,Afternoon,one,Evening,Bangalore,Economy,5.25,21,5103
171,Vistara,UK-820,Bangalore,Evening,one,Morning,Mumbai,Business,16.0,45,69244
172,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Business,24.08,36,52063
173,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Bangalore,Business,15.5,28,60978
174,Air_India,AI-651,Mumbai,Morning,one,Night,Delhi,Economy,11.0,16,6260
175,Vistara,UK-850,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,11.92,16,4628
176,Air_India,AI-540,Delhi,Night,zero,Night,Chennai,Economy,2.92,7,7425
177,Vistara,UK-834,Chennai,Evening,one,Night,Bangalore,Economy,6.17,14,12497
178,Vistara,UK-893,Bangalore,Evening,one,Morning,Mumbai,Economy,14.08,49,4491
179,Vistara,UK-852,Bangalore,Morning,one,Early_Morning,Hyderabad,Business,22.33,16,37985
180,Vistara,UK-897,Bangalore,Early_Morning,one,Night,Delhi,Economy,14.92,35,3346
181,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Business,7.58,34,59033
182,GO_FIRST,G8-101,Kolkata,Morning,one,Evening,Bangalore,Economy,7.83,14,13525
183,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Chennai,Economy,12.25,49,6510
184,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,14.5,15,51875
185,GO_FIRST,G8-2231,Bangalore,Afternoon,one,Night,Delhi,Economy,7.08,43,6022
186,Vistara,UK-897,Bangalore,Early_Morning,two_or_more,Evening,Chennai,Economy,8.42,17,12106
187,Vistara,UK-775,Mumbai,Afternoon,one,Night,Delhi,Business,8.75,41,59021
188,Vistara,UK-950,Mumbai,Night,one,Morning,Chennai,Business,12.0,17,74365
189,Vistara,UK-708,Kolkata,Night,one,Night,Chennai,Economy,26.33,15,9233
190,Vistara,UK-823,Mumbai,Evening,one,Morning,Delhi,Economy,15.92,4,17178
191,Air_India,AI-526,Kolkata,Evening,one,Early_Morning,Chennai,Economy,13.0,23,5324
192,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Bangalore,Business,19.5,7,60978
193,Vistara,UK-975,Delhi,Early_Morning,one,Evening,Kolkata,Economy,11.08,44,6598
194,Vistara,UK-993,Delhi,Afternoon,one,Evening,Kolkata,Business,7.08,15,65529
195,Air_India,AI-770,Kolkata,Night,one,Evening,Mumbai,Business,23.5,19,50271
196,Vistara,UK-954,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.67,7,11129
197,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,8.5,45,6568
198,Vistara,UK-876,Hyderabad,Night,one,Evening,Kolkata,Economy,22.33,40,7767
199,Air_India,AI-9876,Bangalore,Afternoon,two_or_more,Morning,Chennai,Economy,19.67,16,9841
200,Air_India,AI-506,Delhi,Morning,one,Night,Mumbai,Business,11.33,49,53164
201,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,11.75,40,6389
202,Vistara,UK-880,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,6.17,42,5960
203,Air_India,AI-806,Mumbai,Early_Morning,one,Late_Night,Bangalore,Business,16.17,37,54608
204,SpiceJet,SG-489,Kolkata,Night,zero,Late_Night,Mumbai,Economy,2.83,38,4499
205,Indigo,6E-6187,Delhi,Afternoon,one,Evening,Kolkata,Economy,5.17,2,11678
206,Indigo,6E-6491,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.08,43,4071
207,Air_India,AI-660,Mumbai,Evening,one,Early_Morning,Chennai,Economy,14.0,35,5380
208,GO_FIRST,G8-385,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,8.83,23,4028
209,Indigo,6E-6088,Mumbai,Night,zero,Night,Kolkata,Economy,2.42,13,7413
210,Vistara,UK-657,Bangalore,Morning,one,Night,Mumbai,Business,10.08,22,56129
211,Air_India,AI-762,Delhi,Night,one,Late_Night,Bangalore,Business,5.58,38,52522
212,Indigo,6E-2348,Delhi,Evening,one,Late_Night,Chennai,Economy,4.92,20,3349
213,Indigo,6E-2005,Delhi,Morning,one,Night,Chennai,Economy,10.75,48,3389
214,AirAsia,I5-721,Delhi,Night,zero,Night,Bangalore,Economy,2.83,26,4499
215,Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Economy,25.17,18,4871
216,Vistara,UK-933,Delhi,Afternoon,one,Night,Chennai,Economy,7.58,20,4979
217,Air_India,AI-840,Hyderabad,Night,one,Evening,Kolkata,Economy,22.33,18,4368
218,Vistara,UK-995,Delhi,Morning,one,Night,Bangalore,Economy,10.58,38,4496
219,Air_India,AI-767,Delhi,Afternoon,one,Night,Chennai,Business,9.17,19,47657
220,Air_India,AI-539,Chennai,Evening,one,Afternoon,Kolkata,Economy,21.5,14,16383
221,SpiceJet,SG-8152,Mumbai,Early_Morning,one,Night,Kolkata,Economy,15.67,16,5289
222,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Bangalore,Economy,18.5,30,6502
223,Vistara,UK-877,Mumbai,Morning,one,Evening,Delhi,Economy,9.17,24,5232
224,Vistara,UK-657,Bangalore,Morning,one,Evening,Kolkata,Business,8.08,26,67094
225,Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Economy,18.5,41,6172
226,GO_FIRST,G8-515,Hyderabad,Afternoon,one,Night,Delhi,Economy,5.25,47,6198
227,Indigo,6E-132,Hyderabad,Morning,zero,Afternoon,Mumbai,Economy,1.5,5,4926
228,Vistara,UK-822,Chennai,Morning,one,Evening,Bangalore,Economy,9.5,23,4656
229,Air_India,AI-539,Chennai,Evening,zero,Evening,Delhi,Business,2.83,48,27792
230,Indigo,6E-7403,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.17,17,8723
231,GO_FIRST,G8-1404,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.08,38,5186
