id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,Male,disloyal Customer,33,Business travel,Eco,571,2,3,2,4,4,2,4,4,3,1,3,4,3,4,10,3.0,0
2,Female,Loyal Customer,49,Business travel,Business,1431,4,1,4,4,3,5,4,5,5,5,5,3,5,3,0,0.0,1
3,Female,Loyal Customer,43,Business travel,Eco,867,1,4,4,4,4,4,3,1,1,1,1,1,1,2,0,18.0,0
4,Female,Loyal Customer,27,Business travel,Business,1550,3,3,3,3,2,2,2,2,4,4,5,5,4,2,0,0.0,1
5,Male,Loyal Customer,11,Personal Travel,Eco,526,3,4,3,2,4,3,4,4,5,2,5,3,5,4,0,10.0,0
6,Male,Loyal Customer,30,Personal Travel,Eco Plus,1034,2,4,2,2,5,2,5,5,4,5,5,4,4,5,0,0.0,0
7,Male,Loyal Customer,38,Business travel,Eco,826,5,1,1,1,5,5,5,5,1,4,4,5,4,5,2,5.0,1
8,Female,Loyal Customer,39,Business travel,Eco Plus,162,3,4,4,4,3,3,3,3,3,5,5,1,3,3,0,0.0,1
9,Male,disloyal Customer,43,Business travel,Business,541,2,2,2,5,3,2,3,3,5,2,5,4,4,3,0,0.0,0
10,Female,disloyal Customer,24,Business travel,Eco,1065,4,4,4,3,2,4,3,2,4,2,4,2,4,2,10,17.0,0
11,Male,Loyal Customer,62,Business travel,Business,261,1,5,5,5,5,3,3,1,1,1,1,2,1,2,0,0.0,0
12,Male,Loyal Customer,42,Business travel,Business,3309,4,3,3,3,4,3,3,4,4,4,4,1,4,3,62,60.0,0
13,Male,Loyal Customer,59,Business travel,Eco,674,5,3,3,3,5,5,5,5,4,5,3,1,1,5,0,0.0,1
14,Male,Loyal Customer,19,Personal Travel,Eco,305,3,5,4,5,1,4,1,1,5,2,5,2,4,1,0,0.0,0
