Loan_ID,Gender,Married,Dependent_No,Education,Self_Employed,Applicant_Income,CoApplicant_Income,Loan_Amount,Loan_Amount_Term,Credit History,Property_District,Loan_Status
23002,Male,TRUE,3,Graduate,TRUE,4315,19748,60000,300,1,OCR,1
23003,Female,TRUE,3,Not Graduate,TRUE,3331,29657,20000,60,0,OCR,1
23004,Male,TRUE,3,Not Graduate,TRUE,22494,29539,30000,240,1,RCR,1
23005,Male,TRUE,2,Not Graduate,FALSE,78117,12909,20000,60,0,OCR,1
23006,Male,FALSE,2,Not Graduate,FALSE,41976,45598,60000,300,1,RCR,1
23007,Male,FALSE,1,Not Graduate,FALSE,57923,5617,20000,180,1,RCR,1
23008,Male,TRUE,0,Not Graduate,FALSE,15339,48964,60000,120,1,OCR,1
23009,Male,FALSE,3,Graduate,TRUE,54602,14305,40000,60,1,OCR,1
23010,Female,TRUE,3,Not Graduate,TRUE,99815,40106,50000,360,1,OCR,1
23011,Female,TRUE,3,Not Graduate,TRUE,55741,5229,10000,60,1,RCR,1
23012,Male,TRUE,1,Not Graduate,TRUE,41186,,40000,180,1,OCR,0
23013,Male,FALSE,4,Not Graduate,TRUE,18515,16229,40000,360,1,OCR,1
23014,Male,FALSE,1,Graduate,FALSE,64098,7198,10000,360,1,RCR,1
23015,Male,FALSE,1,Not Graduate,FALSE,89261,9496,10000,120,1,OCR,1
23016,Male,FALSE,3,Not Graduate,TRUE,56685,41556,10000,180,1,OCR,0
23017,Male,,4,Graduate,FALSE,66807,32022,20000,120,1,OCR,1
23018,Male,TRUE,0,Not Graduate,TRUE,50160,9770,20000,300,1,OCR,1
23019,Female,TRUE,2,Not Graduate,TRUE,6235,3733,10000,300,0,CCR,1
23020,Male,TRUE,0,Not Graduate,TRUE,69619,29888,50000,240,1,OCR,0
23021,Male,TRUE,4,Not Graduate,TRUE,8844,28000,50000,120,1,OCR,1
23022,Female,FALSE,4,Not Graduate,TRUE,40910,24216,10000,360,1,CCR,1
23023,Female,FALSE,1,Not Graduate,FALSE,34152,25069,50000,360,0,OCR,0
23024,Male,TRUE,1,Graduate,FALSE,13570,34175,30000,360,1,OCR,0
23025,Male,TRUE,3,Not Graduate,TRUE,82286,38298,30000,360,1,OCR,1
23026,Male,FALSE,3,Graduate,FALSE,20931,20002,40000,120,1,OCR,1
23027,Male,FALSE,4,Not Graduate,TRUE,22845,,20000,180,0,CCR,1
23028,Male,TRUE,3,Not Graduate,FALSE,96956,36868,30000,180,1,RCR,1
23029,Male,TRUE,1,Not Graduate,TRUE,35223,9335,20000,360,0,CCR,1
23030,Female,FALSE,4,Graduate,FALSE,47249,22098,60000,120,0,RCR,1
23031,Male,FALSE,1,Not Graduate,FALSE,87260,12513,30000,300,0,CCR,1
23032,Male,FALSE,2,Not Graduate,TRUE,3965,30127,10000,240,1,CCR,1
23033,Male,TRUE,4,Graduate,FALSE,57925,33078,60000,180,1,CCR,0
23034,Male,TRUE,0,Graduate,TRUE,23790,39472,20000,120,1,CCR,0
23035,Male,TRUE,0,Graduate,FALSE,81011,38664,60000,60,0,CCR,1
23036,Male,TRUE,2,Not Graduate,TRUE,53331,49263,20000,240,0,RCR,1
23037,Male,FALSE,3,Graduate,TRUE,60771,44865,60000,360,0,RCR,1
23038,Female,TRUE,2,Graduate,TRUE,3733,15242,30000,300,1,CCR,1
23039,Male,FALSE,4,Not Graduate,TRUE,54472,7864,50000,120,1,,1
23040,Female,FALSE,1,Not Graduate,TRUE,23065,44119,20000,360,1,OCR,1
23041,Male,TRUE,2,Not Graduate,TRUE,55661,48725,40000,300,1,RCR,1
23042,Female,TRUE,2,Not Graduate,FALSE,59343,20204,50000,240,1,CCR,0
23043,Male,TRUE,0,Not Graduate,FALSE,76034,15896,60000,120,1,RCR,1
23044,Male,TRUE,0,Not Graduate,FALSE,37750,41111,10000,360,1,CCR,1
23045,Male,FALSE,4,Not Graduate,FALSE,11316,32884,30000,60,0,RCR,1
23046,Male,FALSE,4,,TRUE,49415,,10000,120,0,CCR,1
23047,Male,FALSE,2,Not Graduate,FALSE,55253,43102,30000,240,1,OCR,1
23048,Male,TRUE,2,Not Graduate,TRUE,61832,1374,20000,240,0,CCR,1
23049,Male,FALSE,1,Not Graduate,TRUE,54421,26002,10000,60,1,OCR,0
23050,Female,FALSE,4,Not Graduate,FALSE,85594,37344,60000,180,1,CCR,0
23051,Male,TRUE,0,Graduate,TRUE,8875,29201,60000,60,0,OCR,0
23052,Male,FALSE,0,Not Graduate,TRUE,51308,9566,30000,180,0,CCR,0
23053,Male,TRUE,3,Graduate,FALSE,32557,33205,40000,240,1,OCR,0
23054,Male,FALSE,3,,TRUE,53132,32409,40000,300,1,OCR,1
23055,,FALSE,2,Graduate,TRUE,32431,45212,10000,300,1,OCR,1
23056,Male,FALSE,1,Not Graduate,TRUE,7576,36872,10000,300,1,CCR,1
23057,Male,TRUE,1,Not Graduate,TRUE,34061,43871,30000,360,1,OCR,0
23058,Male,TRUE,4,Not Graduate,FALSE,84303,46106,20000,240,1,OCR,1
23059,Male,TRUE,0,,TRUE,63665,,50000,60,1,OCR,0
23060,Male,TRUE,1,Not Graduate,TRUE,86021,45175,60000,120,0,CCR,0
23061,,TRUE,2,Not Graduate,TRUE,59725,41880,60000,360,0,RCR,1
23062,Male,FALSE,4,Not Graduate,FALSE,8741,43089,10000,300,1,OCR,0
23063,Male,TRUE,4,Graduate,TRUE,45629,44563,50000,120,1,OCR,1
23064,Male,FALSE,3,Not Graduate,TRUE,67596,40103,60000,180,0,RCR,1
23065,Female,TRUE,3,Graduate,TRUE,51152,,60000,180,1,RCR,1
23066,Female,TRUE,4,Not Graduate,FALSE,97539,45921,20000,60,0,OCR,0
23067,Male,FALSE,0,Graduate,TRUE,3750,47086,50000,60,1,OCR,1
23068,Male,TRUE,1,Graduate,FALSE,72359,17109,20000,240,0,OCR,0
23069,Male,TRUE,3,Graduate,TRUE,11400,33012,50000,360,0,RCR,0
23070,Male,FALSE,4,Not Graduate,TRUE,69371,15703,60000,60,1,OCR,1
23071,Male,FALSE,2,Graduate,TRUE,35475,7930,30000,240,1,CCR,1
23072,Male,FALSE,4,Graduate,TRUE,62107,39929,40000,60,1,OCR,1
23073,Female,TRUE,3,Not Graduate,TRUE,34344,10813,50000,60,1,RCR,0
23074,Male,FALSE,1,Graduate,TRUE,74916,22849,20000,360,1,CCR,0
23075,Male,TRUE,4,Graduate,TRUE,75510,24223,40000,120,0,OCR,1
23076,Male,FALSE,4,Graduate,TRUE,73830,9555,40000,360,1,RCR,0
