address,district,rooms,size,level,max_levels,price,lat,lng
"город Ташкент, Yunusobod район, Юнусабад 8-й квартал",Yunusobod,3,57,4,4,52000,41.3714709,69.2810486
"город Ташкент, Yakkasaroy район, 1-й тупик Шота Руставели",Yakkasaroy,2,52,4,5,56000,41.2911155,69.2611035
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,42,4,4,37000,41.2807837,69.223683
"город Ташкент, Chilonzor район, Чиланзар 9-й квартал",Chilonzor,3,65,1,4,49500,41.2901628,69.1968618
"город Ташкент, Chilonzor район, площадь Актепа",Chilonzor,3,70,3,5,55000,41.3001561,69.2108312
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,1,28,1,4,25500,41.2857552,69.2117625
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30,2,4,21200,41.274633,69.200587
"город Ташкент, Yakkasaroy район, Саламатина",Yakkasaroy,2,32,5,5,20000,41.2820131,69.2431373
"город Ташкент, Uchtepa район, Чиланзар-21",Uchtepa,2,51,3,4,26200,41.2924208,69.1737654
"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,1,30,1,4,22200,41.2894422,69.2058023
"город Ташкент, Uchtepa район, Чиланзар-14",Uchtepa,2,30,2,5,24200,41.2962523,69.1909015
"город Ташкент, Chilonzor район, Чиланзар-20",Chilonzor,3,67,2,5,30200,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,1,30,2,4,21200,41.271386,69.1961168
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30,2,4,21200,41.274633,69.200587
"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,30,2,4,21200,41.2710841,69.1849411
"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,35,1,5,22500,41.2710841,69.1849411
"город Ташкент, Chilonzor район, Г9а",Chilonzor,1,43,4,4,22500,41.259418,69.1804708
"город Ташкент, Chilonzor район, Чиланзар-7",Chilonzor,2,51,2,4,21200,41.2948119,69.2087824
"город Ташкент, Mirzo Ulugbek район, Феруза",Mirzo Ulugbek,3,65,1,4,32500,41.3576548,69.3675816
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,2,51,2,4,22200,41.271386,69.1961168
"город Ташкент, Chilonzor район, Чиланзар-9",Chilonzor,2,51,2,4,24200,41.2901628,69.1968618
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,4,90,5,5,45000,41.2673079,69.2415634
"город Ташкент, Chilonzor район, 1-й проезд Заргарлик",Chilonzor,4,80,3,4,56000,41.2769954,69.1962495
"город Ташкент, Yashnobod район, Садыка Азимова (Жуковского) ",Yashnobod,2,70,5,5,47000,41.3052221,69.2898134
"город Ташкент, Mirzo Ulugbek район, ТТЗ-4",Mirzo Ulugbek,3,69,1,4,49900,41.3619703,69.3875774
"город Ташкент, Mirobod район, Афросиёб",Mirobod,3,80,2,4,76000,41.3035042,69.2680561
